Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00        1     0.00     0.00  mc_compiler_destroy
  0.00      0.17     0.00        1     0.00     0.00  mc_compiler_docompilesource
  0.00      0.17     0.00        1     0.00     0.00  mc_compiler_getconstants
  0.00      0.17     0.00        1     0.00     0.00  mc_compiler_initshallowcopy
  0.00      0.17     0.00        1     0.00     0.00  mc_compiler_make
  0.00      0.17     0.00        1     0.00     0.00  mc_compiler_setsymtable
  0.00      0.17     0.00        1     0.00     0.00  mc_errlist_deinit
  0.00      0.17     0.00        1     0.00     0.00  mc_errlist_init
  0.00      0.17     0.00        1     0.00     0.00  mc_framelist_destroy
  0.00      0.17     0.00        1     0.00     0.00  mc_framelist_make
  0.00      0.17     0.00        1     0.00     0.00  mc_gcmemory_destroy
  0.00      0.17     0.00        1     0.00     0.00  mc_gcmemory_make
  0.00      0.17     0.00        1     0.00     0.00  mc_globalstore_destroy
  0.00      0.17     0.00        1     0.00     0.00  mc_globalstore_getcount
  0.00      0.17     0.00        1     0.00     0.00  mc_globalstore_getdata
  0.00      0.17     0.00        1     0.00     0.00  mc_globalstore_make
  0.00      0.17     0.00        1     0.00     0.00  mc_lexer_init
  0.00      0.17     0.00        1     0.00     0.00  mc_parser_getescapechar
  0.00      0.17     0.00        1     0.00     0.00  mc_parser_parseassignexpr
  0.00      0.17     0.00        1     0.00     0.00  mc_parser_parseincdecpostfixexpr
  0.00      0.17     0.00        1     0.00     0.00  mc_program_destroy
  0.00      0.17     0.00        1     0.00   170.00  mc_program_execute
  0.00      0.17     0.00        1     0.00     0.00  mc_ptrdict_growandrehash
  0.00      0.17     0.00        1     0.00     0.00  mc_state_compilesource
  0.00      0.17     0.00        1     0.00     0.00  mc_state_deinit
  0.00      0.17     0.00        1     0.00     0.00  mc_state_destroy
  0.00      0.17     0.00        1     0.00     0.00  mc_state_errorcount
  0.00      0.17     0.00        1     0.00     0.00  mc_state_gcsweep
  0.00      0.17     0.00        1     0.00     0.00  mc_state_gcunmarkall
  0.00      0.17     0.00        1     0.00     0.00  mc_state_haserrors
  0.00      0.17     0.00        1     0.00     0.00  mc_state_make
  0.00      0.17     0.00        1     0.00     0.00  mc_state_makestdclasses
  0.00      0.17     0.00        1     0.00     0.00  mc_state_reset
  0.00      0.17     0.00        1     0.00     0.00  mc_state_setdefaultconfig
  0.00      0.17     0.00        1     0.00     0.00  mc_symtable_copy
  0.00      0.17     0.00        1     0.00     0.00  mc_util_readfile
  0.00      0.17     0.00        1     0.00     0.00  mc_util_readhandle
  0.00      0.17     0.00        1     0.00     0.00  mc_valarray_getlength
  0.00      0.17     0.00        1     0.00     0.00  mc_valarray_getvalueat
